dataset_name,prompt_number,generation_number,grouped_ner
sport_en.json,1,1,"{'MISC': [['C'], ['of the']], 'ORG': [['Titans'], ['Fortisburg Falcons', 'Falcons'], ['Rivertown Raptors', 'Raptors'], ['River'], ['Rap'], ['Navarro']], 'LOC': [['Fort'], ['##isburg'], ['Meadow Stadium']], 'PER': [['Jake'], ['Lawson'], ['Elena Morales', 'Elena'], ['Reynolds']]}"
sport_en.json,1,2,"{'MISC': [['Clash']], 'ORG': [['of Titans'], ['##rn'], ['Fe'], ['##rnbrook Falcons', 'Fernbrook Falcons', 'Falcons'], ['Riverdale Rovers', 'Rovers'], ['Falcon'], ['Rover'], ['Elm']], 'LOC': [['Fe'], ['##brook']], 'PER': [['Olivia Marshall'], ['Olivia'], ['Jason Tran'], ['Jason']]}"
sport_en.json,1,3,"{'MISC': [['Battle of Ironbridge']], 'LOC': [['Ironbridge'], ['Falcon Stadium']], 'ORG': [['Ironbridge Eagles', 'Eagles'], ['Steel Town Cobras', 'Cobra'], ['Iron Wall'], ['Flash']], 'PER': [['Nathan'], ['Thompson'], ['Lucas']]}"
sport_en.json,1,4,"{'MISC': [['C'], ['Great Game']], 'LOC': [['C'], ['##restwood'], ['##restwood Stadium']], 'ORG': [['C'], ['##restwood Hawks', 'Hawks'], ['Brookside Bears', 'Bears'], ['Wall']], 'PER': [['Jason Mitchell', 'Jason'], ['Ethan'], ['The'], ['Reed']]}"
sport_en.json,1,5,"{'MISC': [['Thunder of Rivals']], 'LOC': [['Ravencroft']], 'ORG': [['Ravencroft Wildcats', 'Wildcats'], ['Hilltop Hawks', 'Hawks']], 'PER': [['Jack Sterling', 'Jack'], ['Aaron Blake'], ['Aaron'], ['Lucy']]}"
sport_en.json,1,6,"{'MISC': [['C', 'of', 'R'], ['##ry'], ['Clyden Cup']], 'ORG': [['##lash'], ['the Titans'], ['Woodsend Wolves', 'Wolves'], ['Riverton Hawks', 'Hawks', 'Hawk'], ['Woods']], 'LOC': [['Woodsend'], ['##end']], 'PER': [['Jake Thompson', 'Thompson'], ['Alex']]}"
sport_en.json,1,7,"{'LOC': [['Silver Lake Stadium']], 'MISC': [['Silver Cup']], 'ORG': [['Thunder Bay Grizzlies'], ['River City Hawks', 'Hawks'], ['Griz'], ['##lies'], ['Wall'], ['Hawk'], ['Flash'], ['G'], ['Hunter'], ['St']], 'PER': [['Matt'], ['The'], ['Hunter'], ['Jake'], ['Rocket'], ['Richards'], ['Leo'], ['Jackson'], ['Sam']]}"
sport_en.json,1,8,"{'MISC': [[""##ry ' s Pinnacle""], ['Maestro'], ['Falcon']], 'LOC': [['Elmbridge', 'Elmbridge Stadium']], 'ORG': [['Elmbridge Thunderbolt', 'Thunderbolt'], ['West Haven Hawks', 'Hawks'], ['Thunder']], 'PER': [['Marcus'], ['The'], ['Leone'], ['Julian'], ['Rivera'], ['Elijah'], ['Holt']]}"
sport_en.json,1,9,"{'MISC': [['Battle of Ironclad Stadium'], ['Cannon']], 'LOC': [['Greenbriar'], ['##clad Stadium']], 'ORG': [['Greenbriar Wolves', 'Wolves'], ['Ironclad Titans', 'Titans'], ['Iron']], 'PER': [['Reilly'], ['Jake', 'Jake Carter'], ['Carter'], ['Simmons'], ['Marcus'], ['Brick Wall'], ['Johnson']]}"
sport_en.json,1,10,"{'LOC': [['Veridion', 'Veri'], ['Z'], ['##n'], ['##n Colosseum']], 'ORG': [['Silver Hawks'], ['The'], ['Crimson Wolves', 'Wolves'], ['Zonara', 'Z'], ['##ona', '##dio'], [""Hawk ' s Eye""], ['Crimson']], 'MISC': [['##dio']], 'PER': [['Elena Rivers'], ['Lucas'], ['Vaughn']]}"
showbie_en.json,2,1,"{'LOC': [['Eldridge Hollow'], ['Vermont'], ['Eldridge'], ['The']], 'PER': [['Anton Blake'], ['Anton']], 'ORG': [['Whithered Page']]}"
showbie_en.json,2,2,"{'LOC': [['Ha', 'El'], ['##rmonville'], ['Prism Arena'], ['Harmonville']], 'PER': [['El'], ['##ara V', '##ara']], 'MISC': [['##ara Vos'], ['Journey through Sound'], ['The'], ['Unity Games']]}"
showbie_en.json,2,3,"{'PER': [['Oliver Gray'], ['Oliver']], 'LOC': [['Grand Marceau Hall']]}"
showbie_en.json,2,4,"{'LOC': [['Aldenbridge'], ['Great Morrison River'], ['Aldenbridge Symphony Hall']], 'PER': [['El'], ['##ara Windermere'], ['##ara']], 'ORG': [['El', 'Al']]}"
showbie_en.json,2,5,"{'MISC': [['Concert Under the Stars']], 'PER': [['Ad'], ['##rien Lorne', '##rien'], ['Adrien'], ['Clara']], 'LOC': [['Aurora Amphitheater']]}"
showbie_en.json,2,6,"{'PER': [['Fiona Lumis', 'Fiona']], 'LOC': [['Lu'], ['##ous Hall']]}"
showbie_en.json,2,7,"{'LOC': [['Empty Hall'], ['Midtown'], ['Grand Meridian Concert Hall'], ['Grand']], 'PER': [['Melanie Sinclair', 'Melanie'], ['Angel']], 'ORG': [['Meridian']]}"
showbie_en.json,2,8,"{'LOC': [['Verenthia'], ['V', 'The', 'Ce'], ['##erenthia'], ['##tial Dome']], 'PER': [['Elara', 'El']], 'ORG': [['##les']]}"
showbie_en.json,2,9,"{'ORG': [['L'], ['##yric']], 'LOC': [['Theater']], 'PER': [['Nathaniel Archet', 'Nathaniel']]}"
showbie_en.json,2,10,"{'MISC': [['Symphony of Silence'], ['The']], 'LOC': [['Argenport'], ['Concordia Hall']], 'PER': [['Elias Hartman'], ['Elias']]}"
sad_scandal_en.json,3,1,"{'LOC': [['Eldridge Hollow', 'Hollow']], 'PER': [['Clara Whitmore'], ['Clara'], ['Robert Whitmore'], ['Robert'], ['Ethan']], 'MISC': [['Victorian']]}"
sad_scandal_en.json,3,2,"{'MISC': [['Shadows'], ['Victorian']], 'LOC': [['Summer Creek'], ['Maple Drive']], 'PER': [['Amelia Rhodes'], ['Daniel'], ['Lily'], ['Amelia']], 'ORG': [['Summer']]}"
sad_scandal_en.json,3,3,"{'MISC': [['Shadows of Amber Hollow'], ['Clay']], 'LOC': [['Amber Hollow'], ['W'], ['##pers of'], ['Main Street']], 'PER': [['Eleanor Blackwood', 'Eleanor'], ['Aiden'], ['James'], ['Amber']]}"
