json_file,story_id,ner_tagging,number_of_ner_tags,cleaned_ner,cleaned_ner_count
22_answer.json,1,"{'PER': ['Julian', 'Aria', 'Sam', 'Mia', 'Principal', 'Foster'], 'ORG': ['Oakridge Academy', 'Zenith', 'Apollo', 'Robot']}",11,"{'PER': ['Julian', 'Aria', 'Sam', 'Mia', 'Principal', 'Foster'], 'ORG': ['Oakridge Academy', 'Zenith', 'Apollo', 'Robot']}",10
22_answer.json,2,"{'PER': ['Jake Hendricks', 'Malcolm Grant', 'Jake', 'Sarah'], 'ORG': ['Riverside Rangers', 'Emerald Eagles', 'Rangers', 'Emerald', 'Eagles']}",9,"{'PER': ['Jake Hendricks', 'Malcolm Grant', 'Jake', 'Sarah'], 'ORG': ['Riverside Rangers', 'Emerald Eagles', 'Rangers', 'Emerald', 'Eagles']}",9
22_answer.json,3,"{'PER': ['Liam', 'Mia', 'Zoe', 'Langston', 'Lang'], 'ORG': ['Team Zephyr', 'Athena'], 'LOC': ['New Haven']}",12,"{'PER': ['Liam', 'Mia', 'Zoe', 'Langston', 'Lang'], 'ORG': ['Team Zephyr', 'Athena'], 'LOC': ['New Haven']}",8
22_answer.json,4,"{'PER': ['Alex', 'Mira', 'Jess', 'Leo'], 'ORG': ['Obsidian Vanguard', 'Red Dragons', 'Vanguard', 'Summit']}",18,"{'PER': ['Alex', 'Mira', 'Jess', 'Leo'], 'ORG': ['Obsidian Vanguard', 'Red Dragons', 'Vanguard', 'Summit']}",8
22_answer.json,5,"{'PER': ['Lila Morgan'], 'ORG': ['Team Synapse', 'TechSphere'], 'LOC': ['Eldoria']}",11,"{'PER': ['Lila Morgan'], 'ORG': ['Team Synapse', 'TechSphere'], 'LOC': ['Eldoria']}",4
22_answer.json,6,"{'PER': ['Alex', 'Mia', 'Sam', 'Jordan', 'Taylor', 'Clara Hughes'], 'ORG': ['NovaTech Titans', 'Titans', 'TechQuest Committee', 'Committee'], 'LOC': ['Riverton']}",12,"{'PER': ['Alex', 'Mia', 'Sam', 'Jordan', 'Taylor', 'Clara Hughes'], 'ORG': ['NovaTech Titans', 'Titans', 'TechQuest Committee', 'Committee'], 'LOC': ['Riverton']}",11
22_answer.json,7,"{'PER': ['Jake Thompson', 'Marshall', 'Daisy Chen', 'Daisy', 'Watkins', 'Pete', 'Larson'], 'ORG': ['Pine Valley Spartans', 'Spartans', 'Riverside Hawks', 'Pine Valley High'], 'LOC': ['Pine Valley']}",13,"{'PER': ['Jake Thompson', 'Marshall', 'Daisy Chen', 'Daisy', 'Watkins', 'Pete', 'Larson'], 'ORG': ['Pine Valley Spartans', 'Spartans', 'Riverside Hawks', 'Pine Valley High'], 'LOC': ['Pine Valley']}",12
22_answer.json,8,"{'PER': ['Alex Chen', 'Mira', 'Jordan', 'Alex'], 'ORG': ['Maris', 'Team Quantum', 'Solaris High School', 'Arcus', 'Riverton Academy', 'Arc', 'Quantum', 'Mira', 'Jordan']}",19,"{'PER': ['Alex Chen', 'Mira', 'Jordan', 'Alex'], 'ORG': ['Maris', 'Team Quantum', 'Solaris High School', 'Arcus', 'Riverton Academy', 'Arc', 'Quantum', 'Mira', 'Jordan']}",13
22_answer.json,9,"{'PER': ['Sarah', 'Malik', 'Aiden', 'Emily'], 'ORG': ['Eastville High', 'Tech Titans', 'Atom', 'High', 'Titans', 'Turner', 'Tech'], 'LOC': ['Eastville', 'East']}",18,"{'PER': ['Sarah', 'Malik', 'Aiden', 'Emily'], 'ORG': ['Eastville High', 'Tech Titans', 'Atom', 'High', 'Titans', 'Turner', 'Tech'], 'LOC': ['Eastville', 'East']}",13
22_answer.json,10,"{'PER': ['Lawson'], 'ORG': ['Robot', 'Riverton High', 'Riverton Raptors', 'Miller Valley', 'MV Mavericks', 'Miller Valley High', 'Raptors', 'Riverton', 'River'], 'LOC': ['Riverton']}",15,"{'PER': ['Lawson'], 'ORG': ['Robot', 'Riverton High', 'Riverton Raptors', 'Miller Valley', 'MV Mavericks', 'Miller Valley High', 'Raptors', 'Riverton', 'River'], 'LOC': ['Riverton']}",11
