json_file,story_id,ner_tagging,number_of_ner_tags
22_answer.json,1,"{'LOC': ['Nyakubahwe', 'Kagoma'], 'ORG': ['Polisi y']}",3
22_answer.json,2,"{'LOC': [""Afrika y'Iburasirazuba"", 'Nyamirambo', ""Afurika y'Uburasirazuba""]}",3
22_answer.json,3,"{'DATE': ['2023'], 'ORG': ['""Intare FC', '""', 'Intare FC']}",4
22_answer.json,4,"{'ORG': ['""Sikubwabo Stars', 'Sikubwabo Stars']}",2
22_answer.json,5,"{'LOC': ['Ruritania'], 'ORG': ['""', 'Inkingi FC', 'Ibiyaga United']}",4
22_answer.json,6,"{'LOC': ['Serengeti', 'A', 'majyam'], 'ORG': ['""', 'Imena FC'], 'DATE': ['Kane']}",6
22_answer.json,7,"{'LOC': ['Karandiro'], 'DATE': ['2023', 'kwa', 'Nyakanga'], 'ORG': ['Nyamirambo Stars', 'Cyivugiza FC'], 'PER': ['Bwana Mafara']}",7
22_answer.json,8,"{'LOC': ['Rugwiro', 'Afurika'], 'ORG': ['Gikundiro FC', 'Ingabo United'], 'DATE': [""irushanwa ry'uyu mwaka""]}",5
22_answer.json,9,"{'DATE': ['2023', 'uyu munsi'], 'ORG': ['Agasaro FC', 'Sunrise United'], 'LOC': ['Kigali']}",5
22_answer.json,10,"{'ORG': ['""', 'Intare FC', 'Imena United', '""Imena United']}",4
10_answer.json,1,"{'PER': ['Kamanzi Jean-Claude', 'Jean-Claude', 'Kamanzi'], 'DATE': ['17 z’ukwezi kwa', 'Nyakanga']}",5
10_answer.json,2,"{'LOC': ['Biring', 'Ru'], 'PER': ['Karera John', 'Bwana Ndayishimiye'], 'DATE': ['5 Mutarama']}",5
10_answer.json,3,"{'LOC': ['Ubuh', 'Gikundiro'], 'PER': ['Gashema']}",3
10_answer.json,4,"{'DATE': ['2028', 'mpeshyi y’uwo mwaka', 'kwezi kwa Kanama'], 'PER': ['Kamanzi']}",4
10_answer.json,5,"{'LOC': ['Zabuntu'], 'PER': ['Kayumba Ntamuhanga', 'Kayumba', 'Mukunguri'], 'DATE': ['2015,']}",5
10_answer.json,6,"{'PER': ['Manzi Rugamba', 'Rugamba'], 'DATE': ['5 Ukwakira']}",3
10_answer.json,7,"{'PER': ['Nkoramutima'], 'LOC': ['Kavukire', 'Kav', 'Nkoramutima'], 'DATE': ['2023', '15 Werurwe 2023']}",6
10_answer.json,8,{'LOC': ['Kalisan']},1
10_answer.json,9,"{'DATE': ['2022', '5 Kamena'], 'LOC': ['Karisi', 'Karisimbi', 'Valence', 't'], 'PER': ['Jean-Paul Ntaganda', 'Jean-Paul']}",8
10_answer.json,10,"{'LOC': ['Karisi', 'Kigali'], 'PER': ['Kamana Jean-Paul', 'Kamana'], 'DATE': ['15 Nyakanga']}",5
05_answer.json,1,"{'LOC': ['Nyabute'], 'PER': ['Rugaba wa Kabiri']}",2
05_answer.json,2,"{'LOC': ['Nyamuni', 'Nyamunini'], 'PER': ['Rugira', 'Kwezi']}",4
05_answer.json,3,"{'DATE': ['1895', 'm', 'z', 'u', '1898'], 'LOC': ['Zamunda', 'Bwongereza', 'Kanyar'], 'PER': ['yar', '""', 'Ikizere Gishya']}",11
05_answer.json,4,"{'LOC': ['Azura', 'Rubona'], 'PER': ['Mwami Rugasira', 'Nkusi Kayitare']}",4
05_answer.json,5,{'LOC': ['Nyamdruk']},1
05_answer.json,6,"{'LOC': ['Nyamburabwiza'], 'PER': ['Ny', 'rabwiz'], 'ORG': ['n', 'in', 'teko ishinga']}",6
05_answer.json,7,"{'LOC': ['Demokarasi'], 'PER': ['Zaman', 'Kayumba']}",3
05_answer.json,8,"{'LOC': ['Kaleza', 'R', 'wa', 'Demokarasi'], 'PER': ['Kaguru IV']}",5
05_answer.json,9,"{'LOC': ['Nya', 'Nyamir', 'Kaj'], 'PER': ['Ruganzu II Bahizi', 'Kajuga', 'uga', 'Ruganzu II']}",7
05_answer.json,10,"{'LOC': ['Rwanda'], 'PER': ['Kayira V', 'Kay', 'Nyirimbabazi Anitha', 'Nyirimbabazi'], 'DATE': ['1960']}",6
19_answer.json,1,"{'PER': ['Aimé Karame', 'Aimé'], 'LOC': ['Rwanda', 'Afurika y’Iburasirazuba']}",4
19_answer.json,2,"{'PER': ['Kamari Ndushimiye', 'Rutagira Akagero'], 'LOC': [""Afurika y'Iburasirazuba"", 'Izuba', 'Kamar', 'Burayi']}",6
19_answer.json,3,"{'PER': ['Ntwari Aimable', 'Aimable'], 'DATE': ['um', 'waka ushize']}",4
19_answer.json,4,"{'LOC': ['Kigali', 'Rwanda'], 'PER': ['Simbi Nshuti', 'Simbi'], 'ORG': ['Afrobeat', 'Reggae', 'Instagram']}",7
19_answer.json,5,"{'LOC': ['Karind', 'Afurika', 'Karindwi'], 'ORG': ['Afrobeat', 'Mwezi Star'], 'PER': ['Kavundi Moses'], 'DATE': ['', 'uyu mwaka']}",8
19_answer.json,6,"{'LOC': ['Nyirarubuga'], 'DATE': ['2025', 'kwa', 'Mutarama 2026'], 'PER': ['Kayitare Mwiza', 'Kayitare']}",6
19_answer.json,7,"{'LOC': ['Faranga'], 'PER': ['Izuba Nshya', 'Nshya']}",3
19_answer.json,8,"{'PER': ['Kamariza', 'Kamar']}",2
19_answer.json,9,"{'PER': ['Mugenzi Kwizera', 'Mugenzi'], 'ORG': ['Nteko Ishinga Amategeko']}",3
19_answer.json,10,"{'PER': ['Karabo Nyamunsi', 'Nyamunsi', 'Nya', 'si'], 'LOC': ['Kigali', 'mun', 'Afurika']}",7
09_answer.json,1,"{'LOC': ['Karibu'], 'PER': ['Bwana Kamari', 'Bwana Mugisha'], 'DATE': ['uyu munsi']}",4
09_answer.json,2,"{'LOC': ['Nyarutan', 'Kayitare'], 'PER': ['Kayitare', 'Bwana']}",4
09_answer.json,3,"{'LOC': ['Vugubwoba'], 'PER': ['Soma Rutamu', 'Rutamu'], 'ORG': ['R', 'CR']}",5
09_answer.json,4,"{'LOC': ['Nyamihang'], 'PER': ['Kayihura Muziranenge', 'Bwana Kayihura']}",3
09_answer.json,5,"{'LOC': ['Nyarugenge'], 'PER': ['Karangwa Jean Paul', 'Bwana Karangwa']}",3
09_answer.json,6,"{'LOC': ['Nyabugogo'], 'PER': ['Bwana Samuel Kamanzi', 'Bwana Kamanzi', 'Kamanzi']}",4
09_answer.json,7,"{'LOC': ['Kamonyi', 'Rwanda', 'Bugesera', 'Kamony'], 'PER': ['Kubwimana Jean Bosco', 'Kubwimana', 'Ndayisaba Emmanuel']}",7
09_answer.json,8,"{'PER': ['Bwana', 'Karangwa', 'Bwana Karangwa'], 'DATE': ['umweru']}",4
09_answer.json,9,"{'LOC': ['Ndiza'], 'PER': ['Bwana Kamanzi'], 'ORG': ['Inteko']}",3
09_answer.json,10,"{'LOC': ['Cyanyiramyeba'], 'PER': ['Simeon Kanyamibwa', 'Kanyamibwa']}",3
15_answer.json,1,"{'LOC': ['Kinyaga'], 'PER': ['Pasiteri Emmanuel Mukiza', 'Pasiteri Mukiza', 'Clarisse Niyonsaba', 'Clarisse'], 'DATE': ['umweru g']}",6
15_answer.json,2,"{'DATE': ['mpera za Nyakanga 2023'], 'LOC': ['Nyamwijima', 'Rubona', 'Pasiteri Marende'], 'PER': ['Pasiteri Jonas Marende', 'Pasiteri Marende', 'Marende']}",7
15_answer.json,3,"{'LOC': ['Munezero'], 'PER': ['Simeon Mugenzi', 'Simeon', 'Muganga Josiane', 'Josiane']}",5
15_answer.json,4,"{'DATE': ['Kanyamugenge'], 'LOC': ['Rwanda', 'Kanyamugenge'], 'PER': ['Pasiteri Simeon.', 'Pasiteri Simeon']}",5
15_answer.json,5,"{'LOC': ['Kamony', 'majyepfo y’', 'Kigali'], 'PER': ['Pasiteri Gashumba']}",4
15_answer.json,6,"{'DATE': ['wa', 'Kanyamibwa'], 'PER': ['Pasiteri Emmanuel Nkurunziza', 'Claudine', 'Pasiteri Emmanuel', 'Pasi'], 'LOC': ['Pasi']}",7
15_answer.json,7,"{'PER': ['Ny', 'Pasiteri Karekezi'], 'LOC': ['Karere k’Amajyaruguru']}",3
15_answer.json,8,"{'DATE': ['2023'], 'LOC': ['Ndaluka', 'Pasitoro Juvénal'], 'PER': ['Pasitoro Juvénal Mbonyumuryango', 'Pasitoro Juvénal']}",5
15_answer.json,9,"{'DATE': ['Nyamirembe'], 'PER': ['Pasiteri Ezra Nkundabarezi', 'Ezra', 'Pasiteri Ezra']}",4
15_answer.json,10,"{'ORG': ['Ru', 'jo', 'Kinyaga News'], 'PER': ['Rw', 'U', 'Pasiteri Samuel'], 'LOC': ['Kinyaga'], 'DATE': ['kuri iki cyumweru gishize']}",8
16_answer.json,1,"{'LOC': ['Kigali', 'Gasabo'], 'PER': ['Fabrice Ndayisaba', 'Bwana Ndayisaba']}",4
16_answer.json,2,"{'LOC': ['Nyabyondo', 'Gasabo'], 'ORG': ['""', 'Urumuri High School', 'Gasabo Times'], 'PER': ['Samuel Ntigurirwa', 'Bwana', 'Ntigurirwa', 'Bwana Ntigurirwa']}",9
16_answer.json,3,"{'LOC': ['Kigali', 'Rwanda'], 'PER': ['Ndayizeye Tharcisse', 'Bwana Ndayizeye', 'N'], 'DATE': [""nyuma cy'umwaka""]}",6
16_answer.json,4,"{'ORG': ['""', 'Urumuri Academy'], 'PER': ['Ndahiro', 'N', 'iro'], 'DATE': ['kwa', 'Nyakanga'], 'LOC': ['dah', 'Ndah']}",9
16_answer.json,5,"{'LOC': ['Nyamweru'], 'PER': ['Bwana Kwezi', 'Kwezi']}",3
16_answer.json,6,"{'LOC': ['Kamenge'], 'ORG': ['""', 'Indatwa', 'Indatwa Academy', 'In', 'wa'], 'DATE': ['2000,'], 'PER': ['Bwana', 'Jean Bosco Nshimiyimana', 'Nshimiyimana', 'Bwana Nshimiyimana', 'Agnes Mukamana', 'Mukamana', 'Bwana Nshi']}",14
16_answer.json,7,"{'LOC': ['Karangazi', ""majyaruguru y'u Rwanda"", 'Nyabikenke', 'Mbonimpa', 'Maga', 'Rwanda'], 'PER': ['Tawanda Mbonimpa', 'Bwana', 'Mbonimpa', 'Bwana Mbonimpa']}",10
16_answer.json,8,"{'LOC': ['Kinya', 'Kigali'], 'PER': ['Emmanuel Ntakirutimana.', 'Emmanuel', 'Emmanuel Ntakirutimana']}",5
16_answer.json,9,"{'PER': ['Bwana Murenzi', 'Jean-Paul Murenzi', 'Murenzi'], 'LOC': ['Ruswa', 'Kigali', 'Murenzi'], 'ORG': ['""', 'Amahoro Academy'], 'DATE': ['2023']}",9
16_answer.json,10,"{'LOC': ['Nya'], 'PER': ['Bwana Rugwiro']}",2
24_answer.json,1,{'LOC': ['Veridiana']},1
24_answer.json,2,"{'PER': ['Karisimbi'], 'LOC': ['Rukundo']}",2
24_answer.json,3,{'DATE': ['2025']},1
24_answer.json,4,"{'LOC': ['Kandala'], 'DATE': ['', 'ze']}",3
24_answer.json,5,{},0
24_answer.json,6,{},0
24_answer.json,7,"{'PER': ['Zidasanzwe Zatum', 'Yose Yegura'], 'ORG': ['ye Federasiyo y’Imik', 'Federas', ""y'I""]}",5
24_answer.json,8,"{'LOC': ['Ny'], 'DATE': ['iributungan', 'Ku wa mbere w’icyumweru gishize']}",3
24_answer.json,9,"{'ORG': ['Kalevala', 'Federasiyo y’Imikino'], 'DATE': ['15 Ukwakira 2023', 'umwer']}",4
24_answer.json,10,"{'LOC': ['Nyirarubuga', 'Ny', 'Muvandimwe'], 'ORG': ['irarub']}",4
03_answer.json,1,"{'PER': ['Bwana Kavuna'], 'ORG': ['nteko ishinga amateg', 'b', 'inteko ishinga amateg']}",4
03_answer.json,2,"{'LOC': ['Nayiraland', 'Kibingo'], 'PER': ['Samuel Ndayishi', 'Samuel'], 'DATE': ['2015,', '2020']}",6
03_answer.json,3,"{'LOC': ['Karunda', 'Afurika', 'hagati'], 'PER': ['Samuel Nkundiye', 'Samuel']}",5
03_answer.json,4,"{'LOC': ['Karunji'], 'PER': ['Mugenzi Kabera', 'Mugenzi'], 'ORG': ['nteko ishinga amateg']}",4
03_answer.json,5,"{'DATE': ['1985', '1990', '1997'], 'LOC': ['Karunji'], 'PER': ['Samuel Ngabo', 'Samuel', 'Karunji'], 'ORG': ['nteko ishinga amateg']}",8
03_answer.json,6,"{'LOC': ['Zanzelandia'], 'DATE': ['2020', '2021'], 'PER': ['Samuel Kalinzi', 'Kalinzi']}",5
03_answer.json,7,"{'LOC': ['Nyamwanda', ""majyaruguru y'igihugu""], 'PER': ['Samuel Nkurunziza', 'Samuel']}",4
03_answer.json,8,"{'PER': ['Kamanzi'], 'LOC': [""rya Demokarasi n'Uburinganire"", 'Burayi']}",3
03_answer.json,9,"{'LOC': ['Karundura', 'Nyabigoma'], 'PER': ['Benimana Kamanzi', 'Benim', 'Benimana'], 'ORG': ['""', 'Akarere Kacu Kambere', 'A', 'KK'], 'DATE': ['2027']}",10
03_answer.json,10,"{'LOC': ['Nyombere', 'Afrika', 'tangaza', 'zi'], 'DATE': ['2015,', '2018', '2020'], 'PER': ['Kabanda Aristide', 'Ka', 'Kabanda']}",10
06_answer.json,1,"{'DATE': ['kwezi kwa Nyakanga 2023', 'Kinyama', 'Kuwa 18 Nyakanga'], 'LOC': ['kurutu'], 'PER': ['Aloys Kaberuka', 'Kaberuka', 'Bwana Kaberuka'], 'ORG': [""Minisiteri y'Ubucuruzi"", 'Twizerimana Trust']}",9
06_answer.json,2,"{'PER': ['Bwana', 'Gasimba Rugamba'], 'LOC': ['Bwirabura']}",3
06_answer.json,3,"{'LOC': ['Nyamping', 'Rwanda', 'Dubai', 'New York', 'Leta Zunze Ubumwe za Amerika', 'Burayi'], 'PER': ['Alfred Mukuru', 'Bwana Alfred Mukuru', 'Bwana Mukuru'], 'ORG': ['enzacy', 'RIB']}",11
06_answer.json,4,"{'DATE': ['Kanama'], 'PER': ['Karengera Mateke', 'Karengera', 'Bwana Karengera'], 'LOC': ['buk', 'Kanama'], 'ORG': ['Polisi']}",7
06_answer.json,5,"{'LOC': ['Nyamirambo'], 'PER': ['Karema Jabo', 'Karema']}",3
06_answer.json,6,"{'DATE': ['kwezi gushize kwa', 'Nzeri', '15 Nzeri'], 'LOC': ['Zamunda', 'Monaco', 'Kagem', 'K'], 'PER': ['Elina Kagemusha', 'Rushin', 'Kurwanya Rus', 'Kagemusha', 'usha', 'agemusha'], 'ORG': ['zwe', 'wa no Kurengera Umutungo wa Leta', 'RCRUM', '""', 'Zamunda Investment Corporation']}",18
06_answer.json,7,"{'LOC': ['Nyirandi'], 'PER': ['Bwana Simeon Gasana', 'Bwana Gasana'], 'DATE': ['Ku wa gatanu']}",4
06_answer.json,8,"{'PER': ['Emmanuel Kanziga', 'Bwana Kanziga'], 'DATE': ['15 Ukwakira']}",3
06_answer.json,9,"{'LOC': ['Kinyase'], 'PER': ['Josue Mvuyekure', 'Bwana', 'Mvuyekure'], 'DATE': ['uyu munsi']}",5
06_answer.json,10,"{'LOC': ['Nkoronko', ""Afurika y'Iburasirazuba"", 'Kigoroba'], 'PER': ['By', 'Kamanzi']}",5
13_answer.json,1,"{'ORG': ['TerraCorp'], 'PER': ['Imbuto Nziza', 'Nziza']}",3
13_answer.json,2,"{'DATE': ['2027'], 'ORG': ['GloboCorp'], 'LOC': ['Amazone', '’', 'Amajyepfo', 'Amazon'], 'PER': ['Herman Vale']}",7
13_answer.json,3,"{'LOC': ['Nyaburanga'], 'ORG': ['EcoExtract Ltd', 'w', ""'"", 'Abarengera Ibidukikije muri Nyaburanga', 'UIN', 'EcoExtract Ltd.'], 'DATE': ['2023']}",8
13_answer.json,4,"{'DATE': ['2025', 'Mata 2025'], 'ORG': ['EcoGlobal Industries', 'Our Earth Coalition', 'EcoGlobal', 'Save Our Earth Coalition'], 'LOC': ['Hague']}",7
13_answer.json,5,"{'LOC': ['Rugira', 'Nyirabirunga', 'majyaruguru', 'Afurika', 'Rug'], 'ORG': ['""', 'GreenFuture International']}",7
13_answer.json,6,"{'DATE': ['2025'], 'ORG': ['GLOBE-CORP', 'Green Guardians'], 'LOC': ['La Haye']}",4
13_answer.json,7,"{'DATE': ['2025', '2024'], 'LOC': ['Elmbrook'], 'ORG': ['GlobalCore Industries', 'Green Horizon', 'GlobalCore', '""'], 'PER': ['Jacob Thornton']}",8
13_answer.json,8,"{'ORG': ['""', 'PetroLux', 'GreenFuture Initiative']}",3
