dataset_name,dataset_number,ner_tagging,number_of_ner_tags
sport_en.json,1,"{'MISC': ['C', 'of the'], 'ORG': ['Titans', 'Fortisburg Falcons', 'Rivertown Raptors', 'Falcons', 'Raptors', 'River', 'Rap', 'Navarro'], 'LOC': ['Fort', '##isburg', 'Meadow Stadium'], 'PER': ['Jake', 'Lawson', 'Elena Morales', 'Elena', 'Reynolds']}",18
sport_en.json,2,"{'MISC': ['Clash'], 'ORG': ['of Titans', '##rn', 'Fe', '##rnbrook Falcons', 'Riverdale Rovers', 'Fernbrook Falcons', 'Falcons', 'Rovers', 'Falcon', 'Rover', 'Elm'], 'LOC': ['Fe', '##brook'], 'PER': ['Olivia Marshall', 'Olivia', 'Jason Tran', 'Jason']}",18
sport_en.json,3,"{'MISC': ['Battle of Ironbridge'], 'LOC': ['Ironbridge', 'Falcon Stadium'], 'ORG': ['Ironbridge Eagles', 'Steel Town Cobras', 'Eagles', 'Cobra', 'Iron Wall', 'Flash'], 'PER': ['Nathan', 'Thompson', 'Lucas']}",12
sport_en.json,4,"{'MISC': ['C', 'Great Game'], 'LOC': ['C', '##restwood', '##restwood Stadium'], 'ORG': ['C', '##restwood Hawks', 'Brookside Bears', 'Hawks', 'Bears', 'Wall'], 'PER': ['Jason Mitchell', 'Ethan', 'The', 'Reed', 'Jason']}",16
sport_en.json,5,"{'MISC': ['Thunder of Rivals'], 'LOC': ['Ravencroft'], 'ORG': ['Ravencroft Wildcats', 'Hilltop Hawks', 'Wildcats', 'Hawks'], 'PER': ['Jack Sterling', 'Jack', 'Aaron Blake', 'Aaron', 'Lucy']}",11
sport_en.json,6,"{'MISC': ['C', 'of', 'R', '##ry', 'Clyden Cup'], 'ORG': ['##lash', 'the Titans', 'Woodsend Wolves', 'Riverton Hawks', 'Woods', 'Wolves', 'Hawks', 'Hawk'], 'LOC': ['Woodsend', '##end'], 'PER': ['Jake Thompson', 'Alex', 'Thompson']}",18
sport_en.json,7,"{'LOC': ['Silver Lake Stadium'], 'MISC': ['Silver Cup'], 'ORG': ['Thunder Bay Grizzlies', 'River City Hawks', 'Griz', '##lies', 'Wall', 'Hawks', 'Hawk', 'Flash', 'G', 'Hunter', 'St'], 'PER': ['Matt', 'The', 'Hunter', 'Jake', 'Rocket', 'Richards', 'Leo', 'Jackson', 'Sam']}",22
sport_en.json,8,"{'MISC': [""##ry ' s Pinnacle"", 'Maestro', 'Falcon'], 'LOC': ['Elmbridge', 'Elmbridge Stadium'], 'ORG': ['Elmbridge Thunderbolt', 'West Haven Hawks', 'Thunderbolt', 'Hawks', 'Thunder'], 'PER': ['Marcus', 'The', 'Leone', 'Julian', 'Rivera', 'Elijah', 'Holt']}",17
sport_en.json,9,"{'MISC': ['Battle of Ironclad Stadium', 'Cannon'], 'LOC': ['Greenbriar', '##clad Stadium'], 'ORG': ['Greenbriar Wolves', 'Ironclad Titans', 'Iron', 'Wolves', 'Titans'], 'PER': ['Reilly', 'Jake', 'Carter', 'Simmons', 'Marcus', 'Brick Wall', 'Johnson', 'Jake Carter']}",17
sport_en.json,10,"{'LOC': ['Veridion', 'Z', 'Veri', '##n', '##n Colosseum'], 'ORG': ['Silver Hawks', 'The', 'Crimson Wolves', 'Zonara', '##ona', '##dio', ""Hawk ' s Eye"", 'Crimson', 'Wolves', 'Z'], 'MISC': ['##dio'], 'PER': ['Elena Rivers', 'Lucas', 'Vaughn']}",19
