dataset_name,dataset_number,ner_tagging,number_of_ner_tags
sport_kin.json,1,"{'DATE': ['15 Ukwakira 2023', '', 'uyu mwaka'], 'LOC': ['Kigali', 'Nyamir', 'Ni', 'geria'], 'ORG': ['APR FC', 'Rayon Sports', 'APR'], 'PER': ['Emmanuel Okeke']}",11
sport_kin.json,2,"{'DATE': ['gicamunsi cyo kuwa Gatandatu', 'Nyakanga', 'saa cyenda zuzu'], 'LOC': ['Kigali Arena', 'Rukundo', 'My', 'Nyand', 'Nyandwi'], 'ORG': ['Impinduramatwara FC', 'n', ""'"", 'Intare FC', 'Imp', 'induramatwara FC', 'Muhoza FC', '’'], 'PER': ['Karemera', 'Mbabazi']}",18
sport_kin.json,3,"{'DATE': ['ku wa gatandatu', 'gatanu'], 'LOC': ['Kigali'], 'ORG': ['Gasabo United', 'Nyamirambo Stars'], 'PER': ['Karera Jean Paul', 'Ndayizeye Theoneste']}",7
sport_kin.json,4,"{'DATE': ['Ku cyumweru gishize ku', 'saa cyenda zuzuye'], 'LOC': [""Stade de l'Amitié""], 'ORG': ['Inkuba FC', 'Ubwiza United'], 'PER': ['Jean-Claude Mukamana', 'Harerimana Pierre', 'Maniraguha Jacques', 'Nsabimana Eric']}",9
sport_kin.json,5,"{'LOC': ['Kigali', 'Stade Amahoro'], 'DATE': ['15 Ukwakira 2023'], 'ORG': ['Intare FC', 'n', '’', 'Ingwe SC'], 'PER': ['Kamanzi Jean Luc', 'Ndizeye Felix']}",9
sport_kin.json,6,"{'ORG': ['Gasabo United', 'Nyarugenge FC'], 'LOC': ['Kigali Arena', 'Twisungan'], 'PER': ['Rutabayiro Jean Claude', 'Munezero Alice', 'Rugamba Peter', 'bble']}",8
sport_kin.json,7,"{'DATE': ['si w’', 'ha', 'Kuva mu gitondo cyo kuri uwo munsi', 'saa munani z’amanywa'], 'ORG': ['Fantasia', 'FC Indatabigwi', 'FC Inkundamajoro', 'FC Inkundamajo']}",8
sport_kin.json,8,"{'DATE': ['ku wa Gatandatu', '15 Ukwakira 2023'], 'ORG': ['Gasabo FC', 'Nyamirambo United'], 'LOC': ['Stade Amahoro'], 'PER': ['Ntaganzwa Eric', 'Ntaganzwa', 'Kanyam']}",8
sport_kin.json,9,"{'DATE': ['15 Nyakanga 2023'], 'LOC': ['Stade Mpuzamahanga', 'Kigali', 'Rwanda', 'ku Cyumweru'], 'ORG': ['Intare FC n’Ingabo SC', 'Intare FC', 'Inga', 'bo SC', 'SC'], 'PER': ['Niyonzima Eric', 'Ngendahimana John', 'Mugisha Patrick']}",13
sport_kin.json,10,"{'DATE': ['15 Ukwakira 2023'], 'LOC': ['Nyamirambo', 'Rwanda'], 'ORG': ['Rayon Sports', 'APR FC', 'Rayon', 'APR'], 'PER': ['Mwizerwa Jean Claude', 'Patrick']}",9
